graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","1","916428","5105040","0.27480000000000004","1","0.000001063972","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5","916429.2","5105044","19.665200000000002","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5","916429.2","5105044","12.7112","62","0.00000138856","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5","916429.2","5105044","3.4936","0","6.27658e-7","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","5","916429.2","5105044","0.8868","4","0.00000225166","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10","916430.4","5105049","19.980600000000003","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10","916430.4","5105049","12.7376","62","0.0000014080000000000001","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10","916430.4","5105049","4.6216","0","7.795900000000001e-7","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","10","916430.4","5105049","1.2138","5.6","0.00000350012","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","50","916434.8","5105089","19.674599999999998","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","50","916434.8","5105089","12.7008","62","0.00000151504","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","50","916434.8","5105089","6.5144","0","8.782879999999999e-7","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","50","916434.8","5105089","2.7994","13.4","0.00000412122","pagerankCuda [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","100","916445.6","5105139","19.9804","0","0","pagerankNvgraph [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","100","916445.6","5105139","12.722000000000001","62","0.0000014142000000000002","pagerankCuda [static]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","100","916445.6","5105139","8.0244","0","8.41212e-7","pagerankNvgraph [dynamic]"
"web-Google","916428","5105039","19.944","0","0","pagerankNvgraph","100","916445.6","5105139","3.4985999999999997","16.8","0.00000430348","pagerankCuda [dynamic]"
